
INSERT INTO jugador VALUES(10000, 'Mario', 'Argul', 'Acosta', TO_DATE('1983-8-2', 'YYYY-MM-DD'),1, 'PORTERO','0');
INSERT INTO jugador VALUES(10168, 'Guim', 'Mendez', 'Trigo', TO_DATE('1996-12-15', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','7');
INSERT INTO jugador VALUES(10169, 'Nil', 'Goytiño', 'Chiappara', TO_DATE('1992-8-20', 'YYYY-MM-DD'),9, 'DELANTERO','7');
INSERT INTO jugador VALUES(10170, 'Mario', 'Rossini', 'Rodriguez', TO_DATE('1992-8-9', 'YYYY-MM-DD'),10, 'DELANTERO','7');
INSERT INTO jugador VALUES(10171, 'Sean', 'Ceretta', 'Bosi', TO_DATE('1983-10-20', 'YYYY-MM-DD'),11, 'DELANTERO','7');
INSERT INTO jugador VALUES(10172, 'Roberto', 'Puente', 'De mattos', TO_DATE('1989-6-23', 'YYYY-MM-DD'),12, 'DELANTERO','7');
INSERT INTO jugador VALUES(10173, 'Yannick', 'Bonasso', 'Gioia', TO_DATE('1996-11-3', 'YYYY-MM-DD'),13, 'DEFENSA','7');
INSERT INTO jugador VALUES(10174, 'Joel', 'Medina', 'Sarti', TO_DATE('1997-4-25', 'YYYY-MM-DD'),14, 'DEFENSA','7');
INSERT INTO jugador VALUES(10175, 'Irvin', 'Sonderegger', 'Martinez', TO_DATE('1997-8-14', 'YYYY-MM-DD'),15, 'DEFENSA','7');
INSERT INTO jugador VALUES(10176, 'Eithan', 'Carreras', 'Pellarolo', TO_DATE('1993-7-16', 'YYYY-MM-DD'),16, 'DELANTERO','7');
INSERT INTO jugador VALUES(10177, 'Víctor', 'Penino', 'Alba', TO_DATE('1987-3-1', 'YYYY-MM-DD'),17, 'PORTERO','7');
INSERT INTO jugador VALUES(10178, 'Ezequiel', 'Rocha', 'Bizera', TO_DATE('1997-11-10', 'YYYY-MM-DD'),18, 'DEFENSA','7');
INSERT INTO jugador VALUES(10179, 'Otto', 'Lezama', 'Boschele', TO_DATE('1993-11-6', 'YYYY-MM-DD'),19, 'DEFENSA','7');
INSERT INTO jugador VALUES(10180, 'Leonardo', 'Vazquez', 'Alvarez', TO_DATE('1987-3-24', 'YYYY-MM-DD'),20, 'DEFENSA','7');
INSERT INTO jugador VALUES(10181, 'Dylan', 'Sposito', 'Netto', TO_DATE('1996-12-7', 'YYYY-MM-DD'),21, 'PORTERO','7');
INSERT INTO jugador VALUES(10182, 'Carlos', 'Aizpun', 'Amaro', TO_DATE('1993-2-10', 'YYYY-MM-DD'),22, 'PORTERO','7');
INSERT INTO jugador VALUES(10183, 'Carlos', 'Garcia', 'Areosa', TO_DATE('1991-2-25', 'YYYY-MM-DD'),23, 'DELANTERO','7');
INSERT INTO jugador VALUES(10184, 'Guim', 'Puppo', 'Ferreiro', TO_DATE('1996-8-5', 'YYYY-MM-DD'),1, 'PORTERO','8');
INSERT INTO jugador VALUES(10185, 'Omar', 'Schwarz', 'Dopeso', TO_DATE('1985-5-3', 'YYYY-MM-DD'),2, 'DEFENSA','8');
INSERT INTO jugador VALUES(10186, 'Diego', 'Proserpio', 'Goytiño', TO_DATE('1992-3-1', 'YYYY-MM-DD'),3, 'DEFENSA','8');
INSERT INTO jugador VALUES(10187, 'Uriel', 'Texeira', 'Cornes', TO_DATE('1983-9-13', 'YYYY-MM-DD'),4, 'DEFENSA','8');
INSERT INTO jugador VALUES(10188, 'Ariel', 'Cuculie', 'Dominguez', TO_DATE('1985-12-8', 'YYYY-MM-DD'),5, 'DEFENSA','8');
INSERT INTO jugador VALUES(10189, 'Evan', 'Rodriguez', 'Cabrera', TO_DATE('1992-11-6', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','8');
INSERT INTO jugador VALUES(10190, 'Ciro', 'Rieiro', 'Caceres', TO_DATE('1983-10-19', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','8');
INSERT INTO jugador VALUES(10191, 'Yael', 'Moyano', 'Teske', TO_DATE('1986-3-15', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','8');
INSERT INTO jugador VALUES(10192, 'Yannick', 'Rodriguez', 'Rodriguez', TO_DATE('1993-11-21', 'YYYY-MM-DD'),9, 'DELANTERO','8');
INSERT INTO jugador VALUES(10193, 'Guim', 'Suarez', 'Da silva', TO_DATE('1991-5-16', 'YYYY-MM-DD'),10, 'DELANTERO','8');
INSERT INTO jugador VALUES(10194, 'Ariel', 'Gallo', 'Olivera', TO_DATE('1989-2-10', 'YYYY-MM-DD'),11, 'DELANTERO','8');
INSERT INTO jugador VALUES(10195, 'Izan', 'Costa', 'Sosa', TO_DATE('1994-11-18', 'YYYY-MM-DD'),12, 'DELANTERO','8');
INSERT INTO jugador VALUES(10196, 'Romeo', 'Rodriguez', 'Pereira', TO_DATE('1984-12-25', 'YYYY-MM-DD'),13, 'PORTERO','8');
INSERT INTO jugador VALUES(10197, 'Habacuc', 'Cabrera', 'Presa', TO_DATE('1992-8-8', 'YYYY-MM-DD'),14, 'PORTERO','8');
INSERT INTO jugador VALUES(10198, 'Acfred', 'Ameal', 'Fernandez', TO_DATE('1985-7-12', 'YYYY-MM-DD'),15, 'MEDIOCAMPISTA','8');
INSERT INTO jugador VALUES(10199, 'Noel', 'Del signore', 'Ramponi', TO_DATE('1995-8-28', 'YYYY-MM-DD'),16, 'DEFENSA','8');
INSERT INTO jugador VALUES(10200, 'Lucas', 'Muller', 'Sepulveda', TO_DATE('1995-5-25', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','8');
INSERT INTO jugador VALUES(10201, 'Ezequiel', 'Ibero', 'Dibbern', TO_DATE('1991-2-1', 'YYYY-MM-DD'),18, 'DELANTERO','8');
INSERT INTO jugador VALUES(10202, 'Aarón', 'Varela', 'Ponseti', TO_DATE('1986-1-25', 'YYYY-MM-DD'),19, 'PORTERO','8');
INSERT INTO jugador VALUES(10203, 'Sam', 'Germano', 'Moreira', TO_DATE('1997-10-5', 'YYYY-MM-DD'),20, 'PORTERO','8');
INSERT INTO jugador VALUES(10204, 'Ezequiel', 'Rocha', 'Bianchimano', TO_DATE('1988-8-23', 'YYYY-MM-DD'),21, 'DEFENSA','8');
INSERT INTO jugador VALUES(10205, 'Roland', 'Dengra', 'Reboledo', TO_DATE('1993-4-28', 'YYYY-MM-DD'),22, 'DEFENSA','8');
INSERT INTO jugador VALUES(10206, 'Nil', 'Rodriguez', 'Chavez', TO_DATE('1996-1-20', 'YYYY-MM-DD'),23, 'PORTERO','8');
INSERT INTO jugador VALUES(10207, 'Mirt', 'Hazot', 'Puente', TO_DATE('1991-1-11', 'YYYY-MM-DD'),1, 'PORTERO','9');
INSERT INTO jugador VALUES(10208, 'Mario', 'Fraga', 'Loureiro', TO_DATE('1997-8-15', 'YYYY-MM-DD'),2, 'DEFENSA','9');
INSERT INTO jugador VALUES(10209, 'Edric', 'Alonso', 'Silva', TO_DATE('1996-2-21', 'YYYY-MM-DD'),3, 'DEFENSA','9');
INSERT INTO jugador VALUES(10210, 'Emiliano', 'Beraza', 'Fernandez', TO_DATE('1987-6-9', 'YYYY-MM-DD'),4, 'DEFENSA','9');
INSERT INTO jugador VALUES(10211, 'Eithan', 'Balbuena', 'Marabotto', TO_DATE('1989-12-5', 'YYYY-MM-DD'),5, 'DEFENSA','9');
INSERT INTO jugador VALUES(10212, 'Saúl', 'Gette', 'Rodriguez', TO_DATE('1986-8-19', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10213, 'Alain', 'Petillo', 'Argul', TO_DATE('1993-8-25', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10214, 'Mario', 'Cuneo', 'Diaz', TO_DATE('1990-12-26', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10215, 'Romeo', 'Berdiñas', 'Gusta', TO_DATE('1984-9-2', 'YYYY-MM-DD'),9, 'DELANTERO','9');
INSERT INTO jugador VALUES(10216, 'Ariel', 'Canale', 'Salvo', TO_DATE('1985-7-23', 'YYYY-MM-DD'),10, 'DELANTERO','9');
INSERT INTO jugador VALUES(10217, 'Roland', 'Cazabonnet', 'Iglesisas', TO_DATE('1989-5-13', 'YYYY-MM-DD'),11, 'DELANTERO','9');
INSERT INTO jugador VALUES(10218, 'Dylan', 'Vitale', 'Menendez', TO_DATE('1996-7-23', 'YYYY-MM-DD'),12, 'DEFENSA','9');
INSERT INTO jugador VALUES(10219, 'Tiziano', 'Lopez', 'Molinari', TO_DATE('1988-2-22', 'YYYY-MM-DD'),13, 'DELANTERO','9');
INSERT INTO jugador VALUES(10220, 'Mateo', 'Paez', 'Avalle', TO_DATE('1989-12-8', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10221, 'Ricardo', 'Risso', 'Alonzo', TO_DATE('1993-8-7', 'YYYY-MM-DD'),15, 'DELANTERO','9');
INSERT INTO jugador VALUES(10222, 'Santiago', 'Ponseti', 'Beloqui', TO_DATE('1988-6-2', 'YYYY-MM-DD'),16, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10223, 'Bruno', 'Silva', 'Raffo', TO_DATE('1985-11-1', 'YYYY-MM-DD'),17, 'DEFENSA','9');
INSERT INTO jugador VALUES(10224, 'Gael', 'Fiorelli', 'Rios', TO_DATE('1987-10-2', 'YYYY-MM-DD'),18, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10225, 'Sergio', 'Elosegui', 'Graña', TO_DATE('1994-6-2', 'YYYY-MM-DD'),19, 'DELANTERO','9');
INSERT INTO jugador VALUES(10226, 'Dylan', 'Benzano', 'Domato', TO_DATE('1994-8-14', 'YYYY-MM-DD'),20, 'PORTERO','9');
INSERT INTO jugador VALUES(10227, 'Ian', 'Bonilla', 'Pais', TO_DATE('1995-1-15', 'YYYY-MM-DD'),21, 'MEDIOCAMPISTA','9');
INSERT INTO jugador VALUES(10228, 'Noel', 'Sorin', 'Franco', TO_DATE('1990-6-3', 'YYYY-MM-DD'),22, 'PORTERO','9');
INSERT INTO jugador VALUES(10229, 'Eric', 'Alvarez', 'Isasa', TO_DATE('1991-8-21', 'YYYY-MM-DD'),23, 'PORTERO','9');
INSERT INTO jugador VALUES(10230, 'Alonso', 'Correa', 'Arebalo', TO_DATE('1985-7-7', 'YYYY-MM-DD'),1, 'PORTERO','10');
INSERT INTO jugador VALUES(10231, 'Bruno', 'Costa', 'Manrique', TO_DATE('1988-1-26', 'YYYY-MM-DD'),2, 'DEFENSA','10');
INSERT INTO jugador VALUES(10232, 'Barad', 'Ortigueira', 'Berger', TO_DATE('1988-12-23', 'YYYY-MM-DD'),3, 'DEFENSA','10');
INSERT INTO jugador VALUES(10233, 'Arturo', 'Perez', 'Barreto', TO_DATE('1996-9-16', 'YYYY-MM-DD'),4, 'DEFENSA','10');
INSERT INTO jugador VALUES(10234, 'Milos', 'Panzardo', 'Lopez', TO_DATE('1993-10-23', 'YYYY-MM-DD'),5, 'DEFENSA','10');
INSERT INTO jugador VALUES(10235, 'Evan', 'Garda', 'Dahlquist', TO_DATE('1992-5-9', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10236, 'Fabricio', 'Menditeguy', 'Acosta', TO_DATE('1997-4-9', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10237, 'Mateo', 'Manrique', 'Dahlquist', TO_DATE('1990-12-19', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10238, 'Alonso', 'Puppo', 'Stercken', TO_DATE('1993-12-28', 'YYYY-MM-DD'),9, 'DELANTERO','10');
INSERT INTO jugador VALUES(10239, 'Thiago', 'Bachini', 'Estrade', TO_DATE('1985-6-6', 'YYYY-MM-DD'),10, 'DELANTERO','10');
INSERT INTO jugador VALUES(10240, 'Eithan', 'Etcheverry', 'Pereira de souza', TO_DATE('1985-1-2', 'YYYY-MM-DD'),11, 'DELANTERO','10');
INSERT INTO jugador VALUES(10241, 'Nil', 'Borche', 'Gonzalez', TO_DATE('1989-4-26', 'YYYY-MM-DD'),12, 'DELANTERO','10');
INSERT INTO jugador VALUES(10242, 'Elián', 'Gonzalez', 'Irigoyen', TO_DATE('1996-10-7', 'YYYY-MM-DD'),13, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10243, 'Fabricio', 'Alvarez', 'Rosales', TO_DATE('1991-2-12', 'YYYY-MM-DD'),14, 'PORTERO','10');
INSERT INTO jugador VALUES(10244, 'Aitor', 'Armada', 'Spinelli', TO_DATE('1983-12-28', 'YYYY-MM-DD'),15, 'PORTERO','10');
INSERT INTO jugador VALUES(10245, 'Guido', 'Astraldi', 'Rodriguez', TO_DATE('1994-9-14', 'YYYY-MM-DD'),16, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10246, 'Nil', 'Iglesisas', 'Cutinella', TO_DATE('1987-1-1', 'YYYY-MM-DD'),17, 'DELANTERO','10');
INSERT INTO jugador VALUES(10247, 'Jano', 'Gomez', 'Mosquera', TO_DATE('1994-6-20', 'YYYY-MM-DD'),18, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10248, 'Ángel', 'Rivera', 'Cancela', TO_DATE('1989-3-12', 'YYYY-MM-DD'),19, 'DELANTERO','10');
INSERT INTO jugador VALUES(10249, 'Ariel', 'Santos', 'Martinez', TO_DATE('1993-6-14', 'YYYY-MM-DD'),20, 'PORTERO','10');
INSERT INTO jugador VALUES(10250, 'Miguel', 'Buscasso', 'Tapia', TO_DATE('1988-3-23', 'YYYY-MM-DD'),21, 'DELANTERO','10');
INSERT INTO jugador VALUES(10251, 'Julio', 'Ferreyra', 'Hernandez', TO_DATE('1987-4-10', 'YYYY-MM-DD'),22, 'PORTERO','10');
INSERT INTO jugador VALUES(10252, 'Evan', 'Costa', 'Desteffani', TO_DATE('1983-7-25', 'YYYY-MM-DD'),23, 'MEDIOCAMPISTA','10');
INSERT INTO jugador VALUES(10253, 'Guido', 'Martin', 'Fieguth', TO_DATE('1983-9-1', 'YYYY-MM-DD'),1, 'PORTERO','11');
INSERT INTO jugador VALUES(10254, 'Thiago', 'Fernandez', 'Carrasco', TO_DATE('1984-8-13', 'YYYY-MM-DD'),2, 'DEFENSA','11');
INSERT INTO jugador VALUES(10255, 'Izan', 'Balbi', 'Da silva', TO_DATE('1995-1-10', 'YYYY-MM-DD'),3, 'DEFENSA','11');
INSERT INTO jugador VALUES(10256, 'Ariel', 'Dengra', 'Vita', TO_DATE('1986-2-8', 'YYYY-MM-DD'),4, 'DEFENSA','11');
INSERT INTO jugador VALUES(10257, 'Aitor', 'Sandin', 'Alvarez', TO_DATE('1991-1-23', 'YYYY-MM-DD'),5, 'DEFENSA','11');
INSERT INTO jugador VALUES(10258, 'Marco', 'Rodales', 'Pioli', TO_DATE('1996-1-21', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','11');
INSERT INTO jugador VALUES(10259, 'Habacuc', 'Frioni', 'Campo', TO_DATE('1989-11-18', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','11');
INSERT INTO jugador VALUES(10260, 'Roland', 'Rodriguez', 'Legnani', TO_DATE('1990-9-24', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','11');
INSERT INTO jugador VALUES(10261, 'Acfred', 'Olivera', 'Vidal', TO_DATE('1989-1-11', 'YYYY-MM-DD'),9, 'DELANTERO','11');
INSERT INTO jugador VALUES(10262, 'Barad', 'Arregui', 'Pastorini', TO_DATE('1989-3-12', 'YYYY-MM-DD'),10, 'DELANTERO','11');
INSERT INTO jugador VALUES(10263, 'Eithan', 'Rodriguez', 'Pacheco', TO_DATE('1987-11-26', 'YYYY-MM-DD'),11, 'DELANTERO','11');
INSERT INTO jugador VALUES(10264, 'Iol', 'Martinez', 'Lucia', TO_DATE('1997-5-27', 'YYYY-MM-DD'),12, 'PORTERO','11');
INSERT INTO jugador VALUES(10265, 'Roland', 'Martinez', 'Dini', TO_DATE('1987-9-9', 'YYYY-MM-DD'),13, 'DELANTERO','11');
INSERT INTO jugador VALUES(10266, 'Habacuc', 'Martinez', 'Bilinski', TO_DATE('1997-2-15', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','11');
INSERT INTO jugador VALUES(10267, 'Habacuc', 'Martinez', 'Tomas', TO_DATE('1988-2-11', 'YYYY-MM-DD'),15, 'PORTERO','11');
INSERT INTO jugador VALUES(10268, 'Eros', 'Benitez', 'Garmendia', TO_DATE('1985-5-1', 'YYYY-MM-DD'),16, 'DELANTERO','11');
INSERT INTO jugador VALUES(10269, 'Otto', 'Valente', 'Perpignani', TO_DATE('1986-1-27', 'YYYY-MM-DD'),17, 'DEFENSA','11');
INSERT INTO jugador VALUES(10270, 'Noel', 'Caula', 'Duhalde', TO_DATE('1993-3-3', 'YYYY-MM-DD'),18, 'PORTERO','11');
INSERT INTO jugador VALUES(10271, 'Alonso', 'Escursell', 'Irigoyen', TO_DATE('1995-10-14', 'YYYY-MM-DD'),19, 'DEFENSA','11');
INSERT INTO jugador VALUES(10272, 'Elián', 'Pardiñas', 'Gomez', TO_DATE('1994-8-12', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','11');
INSERT INTO jugador VALUES(10273, 'Noel', 'Duchini', 'Argento', TO_DATE('1997-1-2', 'YYYY-MM-DD'),21, 'DEFENSA','11');
INSERT INTO jugador VALUES(10274, 'Barad', 'Ramos', 'Lutar', TO_DATE('1987-3-23', 'YYYY-MM-DD'),22, 'DELANTERO','11');
INSERT INTO jugador VALUES(10275, 'Mirt', 'Castro', 'Intoini', TO_DATE('1987-7-13', 'YYYY-MM-DD'),23, 'DEFENSA','11');
INSERT INTO jugador VALUES(10276, 'Enzo', 'Vazquez', 'Mendaro', TO_DATE('1985-10-23', 'YYYY-MM-DD'),1, 'PORTERO','12');
INSERT INTO jugador VALUES(10277, 'Carlos', 'Lorenzo', 'Larrosa', TO_DATE('1989-4-4', 'YYYY-MM-DD'),2, 'DEFENSA','12');
INSERT INTO jugador VALUES(10278, 'Otto', 'Leoncini', 'Escayola', TO_DATE('1989-10-24', 'YYYY-MM-DD'),3, 'DEFENSA','12');
INSERT INTO jugador VALUES(10279, 'Bastian', 'Turnes', 'Garcia', TO_DATE('1992-2-10', 'YYYY-MM-DD'),4, 'DEFENSA','12');
INSERT INTO jugador VALUES(10280, 'Leo', 'Da trindade', 'Roqueta', TO_DATE('1986-7-24', 'YYYY-MM-DD'),5, 'DEFENSA','12');
INSERT INTO jugador VALUES(10281, 'Bastian', 'Suarez', 'Martinez', TO_DATE('1995-1-19', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10282, 'Emiliano', 'Rodriguez', 'Martinez', TO_DATE('1997-4-17', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10283, 'Noel', 'Gonzalez', 'Silva', TO_DATE('1986-1-7', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10284, 'Acfred', 'Souto', 'Santa cruz', TO_DATE('1994-11-5', 'YYYY-MM-DD'),9, 'DELANTERO','12');
INSERT INTO jugador VALUES(10285, 'Ezequiel', 'Zunino', 'Fernandez', TO_DATE('1988-10-7', 'YYYY-MM-DD'),10, 'DELANTERO','12');
INSERT INTO jugador VALUES(10286, 'Tiziano', 'Martinez', 'Deaces', TO_DATE('1992-5-14', 'YYYY-MM-DD'),11, 'DELANTERO','12');
INSERT INTO jugador VALUES(10287, 'Alonso', 'Alonso', 'Diaz', TO_DATE('1990-9-12', 'YYYY-MM-DD'),12, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10288, 'Elián', 'Arancet', 'Astraldi', TO_DATE('1991-2-19', 'YYYY-MM-DD'),13, 'PORTERO','12');
INSERT INTO jugador VALUES(10289, 'Gael', 'Mendizabal', 'Moreira', TO_DATE('1993-3-20', 'YYYY-MM-DD'),14, 'PORTERO','12');
INSERT INTO jugador VALUES(10290, 'Julio', 'Rios', 'Bounous', TO_DATE('1989-7-11', 'YYYY-MM-DD'),15, 'DELANTERO','12');
INSERT INTO jugador VALUES(10291, 'Edgar', 'Nuñez', 'Laureiro', TO_DATE('1986-11-17', 'YYYY-MM-DD'),16, 'DEFENSA','12');
INSERT INTO jugador VALUES(10292, 'Edgar', 'Aunes', 'Rostagnol', TO_DATE('1993-9-15', 'YYYY-MM-DD'),17, 'DEFENSA','12');
INSERT INTO jugador VALUES(10293, 'Ángel', 'Morin', 'Vellozo', TO_DATE('1992-11-28', 'YYYY-MM-DD'),18, 'DEFENSA','12');
INSERT INTO jugador VALUES(10294, 'Fabricio', 'De herrera', 'Sosa', TO_DATE('1985-10-5', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10295, 'Noah', 'Agorio', 'De leon', TO_DATE('1990-5-1', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','12');
INSERT INTO jugador VALUES(10296, 'Leo', 'Blanc', 'Vila', TO_DATE('1984-10-18', 'YYYY-MM-DD'),21, 'DEFENSA','12');
INSERT INTO jugador VALUES(10297, 'Yordani', 'Cambom', 'Ferreiro', TO_DATE('1995-1-24', 'YYYY-MM-DD'),22, 'DEFENSA','12');
INSERT INTO jugador VALUES(10298, 'Gabriel', 'Nicolella', 'Presa', TO_DATE('1991-7-6', 'YYYY-MM-DD'),23, 'DELANTERO','12');
INSERT INTO jugador VALUES(10299, 'Noel', 'Dutra', 'Recuero', TO_DATE('1992-2-9', 'YYYY-MM-DD'),1, 'PORTERO','13');
INSERT INTO jugador VALUES(10300, 'Leonardo', 'Martinez', 'Taube', TO_DATE('1985-10-19', 'YYYY-MM-DD'),2, 'DEFENSA','13');
INSERT INTO jugador VALUES(10301, 'Enzo', 'Rosa', 'Bellomusto', TO_DATE('1984-6-17', 'YYYY-MM-DD'),3, 'DEFENSA','13');
INSERT INTO jugador VALUES(10302, 'Roland', 'Bizera', 'Martin', TO_DATE('1983-10-12', 'YYYY-MM-DD'),4, 'DEFENSA','13');
INSERT INTO jugador VALUES(10303, 'Darwin', 'Somogyi', 'Troise', TO_DATE('1984-4-7', 'YYYY-MM-DD'),5, 'DEFENSA','13');
INSERT INTO jugador VALUES(10304, 'Arturo', 'Estefan', 'Andriolo', TO_DATE('1989-2-19', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','13');
INSERT INTO jugador VALUES(10305, 'Barad', 'Sayas', 'Crosa', TO_DATE('1987-7-16', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','13');
INSERT INTO jugador VALUES(10306, 'Romeo', 'Preti', 'Salvide', TO_DATE('1993-12-21', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','13');
INSERT INTO jugador VALUES(10307, 'Habacuc', 'Franca', 'Berger', TO_DATE('1983-3-5', 'YYYY-MM-DD'),9, 'DELANTERO','13');
INSERT INTO jugador VALUES(10308, 'Jerald', 'De nicola', 'Ramos', TO_DATE('1992-8-9', 'YYYY-MM-DD'),10, 'DELANTERO','13');
INSERT INTO jugador VALUES(10309, 'Edgar', 'Dahlquist', 'Romano', TO_DATE('1989-4-18', 'YYYY-MM-DD'),11, 'DELANTERO','13');
INSERT INTO jugador VALUES(10310, 'Enzo', 'Argento', 'Barreiro', TO_DATE('1989-3-18', 'YYYY-MM-DD'),12, 'DEFENSA','13');
INSERT INTO jugador VALUES(10311, 'Ricardo', 'Beloqui', 'Rodrigueaz', TO_DATE('1995-3-21', 'YYYY-MM-DD'),13, 'MEDIOCAMPISTA','13');
INSERT INTO jugador VALUES(10312, 'Eric', 'Texeira', 'Diaz', TO_DATE('1995-6-6', 'YYYY-MM-DD'),14, 'DELANTERO','13');
INSERT INTO jugador VALUES(10313, 'Irvin', 'Pons', 'Sanchez', TO_DATE('1990-5-19', 'YYYY-MM-DD'),15, 'DELANTERO','13');
INSERT INTO jugador VALUES(10314, 'Sergio', 'Almeida', 'Silva', TO_DATE('1987-9-17', 'YYYY-MM-DD'),16, 'DEFENSA','13');
INSERT INTO jugador VALUES(10315, 'Habacuc', 'Arenas', 'Viviani', TO_DATE('1983-10-26', 'YYYY-MM-DD'),17, 'DELANTERO','13');
INSERT INTO jugador VALUES(10316, 'Dylan', 'Danree', 'Morandi', TO_DATE('1988-4-10', 'YYYY-MM-DD'),18, 'DELANTERO','13');
INSERT INTO jugador VALUES(10317, 'Ízan', 'Ojeda', 'Viojo', TO_DATE('1984-12-2', 'YYYY-MM-DD'),19, 'PORTERO','13');
INSERT INTO jugador VALUES(10318, 'Edric', 'Gomez', 'Rodriguez', TO_DATE('1993-4-5', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','13');
INSERT INTO jugador VALUES(10319, 'Gabriel', 'Rosa', 'Fabbro', TO_DATE('1987-2-3', 'YYYY-MM-DD'),21, 'DEFENSA','13');
INSERT INTO jugador VALUES(10320, 'Brais', 'Caorsi', 'Arigon', TO_DATE('1991-2-27', 'YYYY-MM-DD'),22, 'DEFENSA','13');
INSERT INTO jugador VALUES(10321, 'Mateo', 'Algorta', 'Hornos', TO_DATE('1993-2-21', 'YYYY-MM-DD'),23, 'PORTERO','13');
INSERT INTO jugador VALUES(10322, 'Roland', 'Alvarez', 'Pelufo', TO_DATE('1989-1-13', 'YYYY-MM-DD'),1, 'PORTERO','14');
INSERT INTO jugador VALUES(10323, 'Otto', 'Barreiro', 'Lestegas', TO_DATE('1985-9-25', 'YYYY-MM-DD'),2, 'DEFENSA','14');
INSERT INTO jugador VALUES(10324, 'Yordani', 'Calviño', 'Cornes', TO_DATE('1996-9-9', 'YYYY-MM-DD'),3, 'DEFENSA','14');
INSERT INTO jugador VALUES(10325, 'Enzo', 'Dahlquist', 'Martinato', TO_DATE('1991-2-13', 'YYYY-MM-DD'),4, 'DEFENSA','14');
INSERT INTO jugador VALUES(10326, 'Izan', 'De los santos', 'Falco', TO_DATE('1991-7-3', 'YYYY-MM-DD'),5, 'DEFENSA','14');
INSERT INTO jugador VALUES(10327, 'Uriel', 'Maisonave', 'Perez', TO_DATE('1987-5-27', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','14');
INSERT INTO jugador VALUES(10328, 'Irvin', 'Mazzula', 'Izquierdo', TO_DATE('1986-3-24', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','14');
INSERT INTO jugador VALUES(10329, 'Guido', 'Garicoits', 'Barrios', TO_DATE('1996-4-22', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','14');
INSERT INTO jugador VALUES(10330, 'Irvin', 'Echave', 'Rodriguez', TO_DATE('1996-10-24', 'YYYY-MM-DD'),9, 'DELANTERO','14');
INSERT INTO jugador VALUES(10331, 'Gael', 'Ramos', 'Amy', TO_DATE('1992-2-23', 'YYYY-MM-DD'),10, 'DELANTERO','14');
INSERT INTO jugador VALUES(10332, 'Yael', 'Varela', 'Gomez', TO_DATE('1997-2-1', 'YYYY-MM-DD'),11, 'DELANTERO','14');
INSERT INTO jugador VALUES(10333, 'Nil', 'Barreneche', 'Aguilar', TO_DATE('1991-9-1', 'YYYY-MM-DD'),12, 'MEDIOCAMPISTA','14');
INSERT INTO jugador VALUES(10334, 'Guido', 'Rodriguez', 'Silvera', TO_DATE('1995-6-24', 'YYYY-MM-DD'),13, 'DEFENSA','14');
INSERT INTO jugador VALUES(10335, 'Brais', 'Inda', 'Barcia', TO_DATE('1990-1-8', 'YYYY-MM-DD'),14, 'PORTERO','14');
